trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6556592205741438}",30,0,-207.27558317007683,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684024}",20,0,-0.12225819728644427,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847183}",25,2,-49.252587014224446,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.6361854860638712}",20,0,-39.896728070076044,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.6298236312032325}",30,0,-93.13591403120992,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912002}",25,0,-89.42023910939568,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.6172901409422882}",20,0,-48.39198462919742,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.6111172395328653}",25,13,10.369758792265184,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375367}",30,18,-3.177340945567922,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.5989560064661613}",20,0,-27.508976046362953,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014998}",30,8,-88.20035273427975,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374848}",25,0,-91.87965826092743,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181099}",20,0,-62.75040369634877,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769288}",25,10,-27.63526929380666,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.5696012024771595}",30,17,-38.86717203302005,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.563905190452388}",25,0,-32.17759222709191,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478641}",20,6,-54.02046420329905,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.5526834771623854}",30,4,-73.31288703588346,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.5471566423907616}",20,0,-0.5024636590441527,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668539}",20,8,-6.053546604956006,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.5362682252071853}",30,0,-87.92376932087888,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.5309055429551135}",20,4,-30.767335788014076,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.5255964875255623}",20,0,-103.85928546808871,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.5203405226503067}",25,9,-31.774067060169564,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238036}",20,0,-24.44674611154869,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495656}",20,0,-21.93961930600371,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.50488588878707}",25,5,-92.44057587959327,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",1
69,False,"{'a': 0.5, 'e': 0.49983702989919926}",25,0,-6.083696765416944,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.4948386596002073}",25,0,10.426428714729616,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.48989027300420523}",20,0,-24.73964425000587,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.48499137027416317}",30,0,-56.30252141709804,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.48014145657142154}",30,0,-0.4693746284305824,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.47534004200570734}",20,6,-48.66926908522864,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.4705866415856503}",20,0,-35.271298682141044,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.46588077516979376}",30,9,-46.15649709743053,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.46122196741809585}",25,11,-0.3748682945347297,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.4566097477439149}",25,0,-30.40764538940378,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.45204365026647575}",25,14,-10.820253050697492,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.447523213763811}",20,0,-116.2066596444279,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
81,False,"{'a': 0.5, 'e': 0.44304798162617287}",30,0,-136.0575753511724,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
